ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,Date,regime_bull
CMP,2025-08-12,-6.336483371215534,29,31.672006868768023,4.5963841984843565,4.4133090848919085,Tuesday,8,2025-08-12,True
ZVRA,2025-08-13,-11.853238022538674,26,27.600002211538357,7.464053284726238,1.010475681865381,Wednesday,8,2025-08-13,True
GRPN,2025-08-15,-18.42737109535619,20,39.73357390651645,8.406183271361769,2.527073249657767,Friday,8,2025-08-15,True
SGMT,2025-08-15,-17.262450193209197,31,29.01639906578029,10.476397580272463,3.01549100012644,Friday,8,2025-08-15,True
SLDB,2025-08-19,-5.88397222933367,29,26.909087115033387,7.681544212065027,3.116366636081496,Tuesday,8,2025-08-19,True
IMNM,2025-08-20,7.874470468083706,2,35.10970824882919,5.326471188843991,1.0266599919338446,Wednesday,8,2025-08-20,True
CMPS,2025-08-20,5.113310861018322,1,39.20000444377075,6.744946695465141,0.8287489313720003,Wednesday,8,2025-08-20,True
TOI,2025-08-25,0.0878959766693325,29,38.164250337556425,8.951261042318862,4.0012394241829785,Monday,8,2025-08-25,True
MGTX,2025-08-29,6.526140997477984,7,37.83783469663188,5.512173145878182,1.2412548595615045,Friday,8,2025-08-29,True
DFTX,2025-08-29,9.660623649834005,11,34.35753052909236,6.674110216018765,2.3510912853216017,Friday,8,2025-08-29,True
UMAC,2025-09-02,10.766098717162285,9,37.25835289477706,10.56158750703387,1.0648705663880138,Tuesday,9,2025-09-02,True
NVTS,2025-09-02,12.434917386723862,10,25.4098355994106,8.041080349542232,2.9740226010515163,Tuesday,9,2025-09-02,True
ABCL,2025-09-03,7.987292867286968,7,32.12120773271714,7.758312053772516,2.8105787309426,Wednesday,9,2025-09-03,True
AIP,2025-09-03,7.380182129115181,15,32.7077863289846,7.53883943456464,0.5992872431575167,Wednesday,9,2025-09-03,True
SKYT,2025-09-05,14.887841525037468,12,39.40455659446168,7.412042778078981,1.390688343596869,Friday,9,2025-09-05,True
CTOS,2025-09-09,6.344248548855369,9,37.93104362736245,4.486383712537345,2.7950162021719103,Tuesday,9,2025-09-09,True
TNGX,2025-09-10,6.9940544604254,1,39.89638531289433,6.849954845263421,6.016122719485904,Wednesday,9,2025-09-10,True
ABEO,2025-09-10,-12.438899921376636,5,36.09467308852551,4.322585176914044,2.2404499949491226,Wednesday,9,2025-09-10,True
GTBIF,2025-09-11,10.442680647850048,18,37.31714242424747,9.573757249920297,1.6708266671565444,Thursday,9,2025-09-11,True
TXG,2025-09-12,7.134427708282192,5,30.963298739762067,5.4406939746895855,2.461767915393127,Friday,9,2025-09-12,True
SLS,2025-09-15,-7.335714792049675,14,34.66665987365238,7.318494377642954,1.0296806070910245,Monday,9,2025-09-15,True
LIND,2025-09-15,-9.61586572762755,28,29.32165959644243,4.377709155979359,3.0297461811522983,Monday,9,2025-09-15,True
TRLV,2025-09-15,16.33612113758352,4,28.297352417631917,10.26758759659593,2.822620289646909,Monday,9,2025-09-15,True
CLYM,2025-09-15,13.511763561225653,4,31.818179658763583,8.254651152862145,3.361147073283888,Monday,9,2025-09-15,True
QURE,2025-09-16,-4.342366067912551,3,38.698632952304784,6.294058971487047,0.573263884351699,Tuesday,9,2025-09-16,True
SGMT,2025-09-16,14.317730079319546,8,34.2960274646171,8.371561284380645,1.1178394676114352,Tuesday,9,2025-09-16,True
SNDX,2025-09-17,8.015505808167543,15,35.887854271704015,5.37094873005304,3.0497616019528664,Wednesday,9,2025-09-17,True
MLTX,2025-09-17,8.571015725377572,8,38.806765237352806,5.0510173025154765,2.281359626015501,Wednesday,9,2025-09-17,True
ARKO,2025-09-22,5.685827674393311,1,36.92308216848241,4.092484542384965,0.520174062900224,Monday,9,2025-09-22,True
GPRE,2025-09-23,9.638960858570517,13,35.01945097025485,6.8773555965949225,4.622174618210112,Tuesday,9,2025-09-23,True
HPP,2025-09-24,6.815446179246059,7,39.0804640001842,4.663773267572833,0.61621998175943,Wednesday,9,2025-09-24,True
MGNI,2025-09-24,-23.455982422958293,16,38.96103595310746,5.829780806716229,3.4668570047011333,Wednesday,9,2025-09-24,True
TXG,2025-09-24,9.868691088372476,26,36.19745260416955,5.407936830704207,1.6585991501059512,Wednesday,9,2025-09-24,True
PGEN,2025-09-25,16.616977031409988,25,29.18659885458183,9.42151902685838,4.415910475287544,Thursday,9,2025-09-25,True
